scene,method,budget,seed,miou_selected,f1_selected,miou_query,f1_query
Instance_1/Playground,uniform,10,0,0.41816073656082153,0.5725846290588379,0.4009755849838257,0.5576297044754028
Instance_1/Porch,uniform,10,0,0.4953838288784027,0.6554096341133118,0.5836568474769592,0.7304591536521912
Instance_1/Pots,uniform,10,0,0.6149802803993225,0.7594910860061646,0.6214609742164612,0.7634440064430237
Instance_1/Printing_area,uniform,10,0,0.6154437065124512,0.7520702481269836,0.6522510051727295,0.7848671674728394
Instance_1/Zen,uniform,10,0,0.4497981667518616,0.5757129192352295,0.47388336062431335,0.6086628437042236
Instance_1/Cantina,uniform,15,0,0.46791189908981323,0.6269957423210144,0.5457862615585327,0.6983058452606201
Instance_1/Garden,uniform,15,0,0.49430596828460693,0.6581794023513794,0.47596874833106995,0.6386518478393555
Instance_1/Lounge,uniform,15,0,0.5610666871070862,0.7181152701377869,0.5348936915397644,0.6950727105140686
Instance_1/Lunch_room,uniform,15,0,0.40548864006996155,0.5662307143211365,0.3615463674068451,0.5161985158920288
Instance_1/Meeting_room,uniform,15,0,0.5003154277801514,0.6630021333694458,0.5197710394859314,0.6807762384414673
Instance_1/Playground,uniform,15,0,0.39707186818122864,0.5525322556495667,0.3657805919647217,0.5222305059432983
Instance_1/Porch,uniform,15,0,0.546904981136322,0.7005211710929871,0.5752979516983032,0.7214677333831787
Instance_1/Pots,uniform,15,0,0.5956524014472961,0.7434313893318176,0.6148871779441833,0.7588564157485962
Instance_1/Printing_area,uniform,15,0,0.6115984320640564,0.7516974806785583,0.6340439319610596,0.7732885479927063
Instance_1/Zen,uniform,15,0,0.49382808804512024,0.6394479870796204,0.5413383841514587,0.6853163838386536
